index, timestamp, power.draw [W]
0, 2024/08/08 23:26:00.070, 37.45
0, 2024/08/08 23:26:00.573, 37.55
0, 2024/08/08 23:26:01.076, 37.45
0, 2024/08/08 23:26:01.580, 37.43
0, 2024/08/08 23:26:02.083, 37.55
0, 2024/08/08 23:26:02.586, 37.45
0, 2024/08/08 23:26:03.090, 37.83
0, 2024/08/08 23:26:03.593, 37.45
0, 2024/08/08 23:26:04.096, 37.45
0, 2024/08/08 23:26:04.599, 37.45
0, 2024/08/08 23:26:05.103, 37.45
0, 2024/08/08 23:26:05.606, 37.55
0, 2024/08/08 23:26:06.109, 37.44
0, 2024/08/08 23:26:06.612, 37.84
0, 2024/08/08 23:26:07.117, 37.84
0, 2024/08/08 23:26:07.620, 37.45
0, 2024/08/08 23:26:08.123, 37.55
0, 2024/08/08 23:26:08.626, 37.74
0, 2024/08/08 23:26:09.130, 37.55
0, 2024/08/08 23:26:09.633, 37.45
0, 2024/08/08 23:26:10.136, 37.45
0, 2024/08/08 23:26:10.640, 37.44
0, 2024/08/08 23:26:11.143, 37.45
0, 2024/08/08 23:26:11.647, 37.45
0, 2024/08/08 23:26:12.150, 37.74
0, 2024/08/08 23:26:12.653, 37.47
0, 2024/08/08 23:26:13.156, 37.45
0, 2024/08/08 23:26:13.660, 37.45
0, 2024/08/08 23:26:14.163, 37.45
